sexe,preusuel,annais,dpt,nombre
1,CAMILLE,2004,35,10
1,CAMILLE,2004,37,3
1,CAMILLE,2004,38,10
1,CAMILLE,2004,42,7
1,CAMILLE,2004,44,6
1,CAMILLE,2004,49,9
1,CAMILLE,2004,51,5
1,CAMILLE,2004,53,3
1,CAMILLE,2004,54,4
1,CAMILLE,2004,56,9
1,CAMILLE,2004,57,3
1,CAMILLE,2004,58,3
1,CAMILLE,2004,59,12
1,CAMILLE,2004,60,6
1,CAMILLE,2004,62,7
1,CAMILLE,2004,63,4
1,CAMILLE,2004,65,4
1,CAMILLE,2004,66,4
1,CAMILLE,2004,67,6
1,CAMILLE,2004,69,19
1,CAMILLE,2004,71,4
1,CAMILLE,2004,72,6
1,CAMILLE,2004,73,5
1,CAMILLE,2004,74,7
1,CAMILLE,2004,75,32
1,CAMILLE,2004,76,8
1,CAMILLE,2004,77,9
1,CAMILLE,2004,78,11
1,CAMILLE,2004,79,3
1,CAMILLE,2004,80,3
1,CAMILLE,2004,83,4
1,CAMILLE,2004,84,9
1,CAMILLE,2004,86,5
1,CAMILLE,2004,91,8
1,CAMILLE,2004,92,3
1,CAMILLE,2004,94,5
1,CAMILLE,2004,95,5
1,CAMILLE,2004,974,6
1,CAMILLE,2005,02,3
1,CAMILLE,2005,03,3
1,CAMILLE,2005,06,4
1,CAMILLE,2005,07,4
1,CAMILLE,2005,11,5
1,CAMILLE,2005,13,17
1,CAMILLE,2005,14,9
1,CAMILLE,2005,16,4
1,CAMILLE,2005,18,7
1,CAMILLE,2005,19,3
1,CAMILLE,2005,21,6
1,CAMILLE,2005,22,5
1,CAMILLE,2005,25,3
1,CAMILLE,2005,26,5
1,CAMILLE,2005,28,3
1,CAMILLE,2005,29,6
1,CAMILLE,2005,30,3
1,CAMILLE,2005,31,6
1,CAMILLE,2005,33,8
1,CAMILLE,2005,34,6
1,CAMILLE,2005,35,6
1,CAMILLE,2005,36,5
1,CAMILLE,2005,37,4
1,CAMILLE,2005,38,15
1,CAMILLE,2005,41,3
1,CAMILLE,2005,44,10
1,CAMILLE,2005,45,3
1,CAMILLE,2005,49,7
1,CAMILLE,2005,50,4
1,CAMILLE,2005,51,3
1,CAMILLE,2005,53,7
1,CAMILLE,2005,54,3
1,CAMILLE,2005,56,5
1,CAMILLE,2005,58,3
1,CAMILLE,2005,59,15
1,CAMILLE,2005,60,4
1,CAMILLE,2005,62,3
1,CAMILLE,2005,63,4
1,CAMILLE,2005,67,4
1,CAMILLE,2005,69,9
1,CAMILLE,2005,72,7
1,CAMILLE,2005,74,4
1,CAMILLE,2005,75,28
1,CAMILLE,2005,76,8
1,CAMILLE,2005,77,9
1,CAMILLE,2005,78,6
1,CAMILLE,2005,80,3
1,CAMILLE,2005,83,5
1,CAMILLE,2005,84,3
1,CAMILLE,2005,89,3
1,CAMILLE,2005,91,6
1,CAMILLE,2005,92,13
1,CAMILLE,2005,94,5
1,CAMILLE,2005,95,6
1,CAMILLE,2005,974,6
1,CAMILLE,2006,02,3
1,CAMILLE,2006,03,4
1,CAMILLE,2006,07,3
1,CAMILLE,2006,10,3
1,CAMILLE,2006,13,18
1,CAMILLE,2006,16,4
1,CAMILLE,2006,17,4
1,CAMILLE,2006,19,3
1,CAMILLE,2006,22,3
1,CAMILLE,2006,26,5
1,CAMILLE,2006,28,4
1,CAMILLE,2006,29,4
1,CAMILLE,2006,30,5
1,CAMILLE,2006,31,5
1,CAMILLE,2006,33,12
1,CAMILLE,2006,34,7
1,CAMILLE,2006,35,14
1,CAMILLE,2006,37,10
1,CAMILLE,2006,38,15
1,CAMILLE,2006,41,3
1,CAMILLE,2006,42,7
1,CAMILLE,2006,44,12
1,CAMILLE,2006,45,6
1,CAMILLE,2006,49,7
1,CAMILLE,2006,50,3
1,CAMILLE,2006,51,5
1,CAMILLE,2006,53,4
1,CAMILLE,2006,54,4
1,CAMILLE,2006,56,12
1,CAMILLE,2006,57,3
1,CAMILLE,2006,59,12
1,CAMILLE,2006,60,9
1,CAMILLE,2006,61,4
1,CAMILLE,2006,62,6
1,CAMILLE,2006,63,6
1,CAMILLE,2006,67,5
1,CAMILLE,2006,69,20
1,CAMILLE,2006,71,10
1,CAMILLE,2006,72,11
1,CAMILLE,2006,74,5
1,CAMILLE,2006,75,35
1,CAMILLE,2006,76,11
1,CAMILLE,2006,77,7
1,CAMILLE,2006,78,12
1,CAMILLE,2006,80,6
1,CAMILLE,2006,83,8
1,CAMILLE,2006,84,8
1,CAMILLE,2006,86,4
1,CAMILLE,2006,87,5
1,CAMILLE,2006,91,3
1,CAMILLE,2006,92,16
1,CAMILLE,2006,93,6
1,CAMILLE,2006,94,7
1,CAMILLE,2006,95,4
1,CAMILLE,2006,974,7
1,CAMILLE,2007,02,3
1,CAMILLE,2007,06,6
1,CAMILLE,2007,07,4
1,CAMILLE,2007,13,9
1,CAMILLE,2007,14,5
1,CAMILLE,2007,16,3
1,CAMILLE,2007,17,4
1,CAMILLE,2007,18,6
1,CAMILLE,2007,20,4
1,CAMILLE,2007,21,7
1,CAMILLE,2007,22,4
1,CAMILLE,2007,24,5
1,CAMILLE,2007,25,5
1,CAMILLE,2007,26,5
1,CAMILLE,2007,28,4
1,CAMILLE,2007,29,5
1,CAMILLE,2007,30,4
1,CAMILLE,2007,31,15
1,CAMILLE,2007,33,12
1,CAMILLE,2007,34,11
1,CAMILLE,2007,35,11
1,CAMILLE,2007,37,6
1,CAMILLE,2007,38,12
1,CAMILLE,2007,39,3
1,CAMILLE,2007,41,3
1,CAMILLE,2007,42,4
1,CAMILLE,2007,44,13
1,CAMILLE,2007,45,5
1,CAMILLE,2007,47,3
1,CAMILLE,2007,49,5
1,CAMILLE,2007,50,5
1,CAMILLE,2007,51,3
1,CAMILLE,2007,54,8
1,CAMILLE,2007,56,8
1,CAMILLE,2007,57,4
1,CAMILLE,2007,59,15
1,CAMILLE,2007,60,3
1,CAMILLE,2007,61,4
1,CAMILLE,2007,62,6
1,CAMILLE,2007,63,8
1,CAMILLE,2007,64,3
1,CAMILLE,2007,65,3
1,CAMILLE,2007,66,3
1,CAMILLE,2007,69,20
1,CAMILLE,2007,71,4
1,CAMILLE,2007,72,3
1,CAMILLE,2007,73,5
1,CAMILLE,2007,74,3
1,CAMILLE,2007,75,36
1,CAMILLE,2007,76,9
